age,sex,webhltbeh,wwwhr,happy,health,life
57.0,male,,,pretty happy,fair,
48.0,male,,,very happy,excellent,
26.0,male,,,pretty happy,good,
50.0,female,,,pretty happy,good,
32.0,female,,,pretty happy,good,
56.0,female,,,not too happy,poor,
26.0,male,,,pretty happy,excellent,
30.0,female,,,pretty happy,excellent,
83.0,male,,,not too happy,good,
26.0,female,,,pretty happy,poor,
20.0,male,,,pretty happy,excellent,
41.0,male,,,very happy,excellent,
56.0,female,,,not too happy,poor,
83.0,female,,,pretty happy,poor,
27.0,female,,,very happy,fair,
21.0,female,,,not too happy,fair,
19.0,male,,,very happy,excellent,
41.0,male,,,very happy,fair,
35.0,male,,,very happy,good,
57.0,female,,,pretty happy,good,
42.0,female,,,pretty happy,good,
54.0,female,,,very happy,good,
24.0,female,,,pretty happy,good,
62.0,male,,,very happy,good,
39.0,male,,,pretty happy,fair,
24.0,male,,,very happy,excellent,
66.0,female,,,very happy,good,
55.0,male,,,pretty happy,good,
25.0,male,,,pretty happy,good,
61.0,female,,,pretty happy,good,
62.0,female,,,very happy,fair,
29.0,male,,,very happy,good,
27.0,male,,,pretty happy,excellent,
44.0,female,,,pretty happy,good,
44.0,male,,,very happy,excellent,
34.0,female,,,not too happy,good,
23.0,male,,,very happy,excellent,
58.0,female,,,pretty happy,good,
24.0,male,,,very happy,excellent,
34.0,female,,,very happy,good,
42.0,female,,,very happy,fair,
32.0,female,,,very happy,excellent,
52.0,male,,,pretty happy,poor,
22.0,female,,,pretty happy,good,
35.0,female,,,not too happy,excellent,
45.0,male,,,not too happy,fair,
30.0,female,,,very happy,good,
35.0,female,,,very happy,poor,
36.0,male,,,very happy,excellent,
57.0,male,,,very happy,fair,
28.0,male,,,pretty happy,good,
42.0,female,,,very happy,good,
23.0,female,,,pretty happy,excellent,
53.0,female,,,not too happy,good,
22.0,male,,,very happy,excellent,
60.0,male,,,pretty happy,fair,
56.0,male,,,very happy,excellent,
24.0,male,,,pretty happy,good,
26.0,male,,,pretty happy,excellent,
55.0,female,,,not too happy,good,
20.0,female,,,very happy,excellent,
30.0,male,,,very happy,good,
26.0,female,,,pretty happy,good,
36.0,female,,,pretty happy,good,
42.0,female,,,pretty happy,good,
28.0,male,,,pretty happy,good,
54.0,male,,,very happy,excellent,
49.0,male,,,very happy,fair,
30.0,female,,,very happy,excellent,
40.0,female,,,very happy,good,
55.0,male,,,very happy,good,
74.0,male,,,not too happy,poor,
